sourcil,眉
œil,目
yeux,目
bouche,口
dent,歯
langue,舌
lèvres,唇
nez,鼻
oreille,耳
joue,頬
front,額、おでこ
cou,首
doigt,指
ongle,爪
coude,肘
dos,背中
épaule,肩
ventre,腹
poitrine,胸　胸部
sein,乳房
jambe,脚
pied,足
talon,かかと
genou,ひざ
peau,皮膚、肌
sang,血、血液
os,骨
muscle,筋肉
nerf,神経
cœur,心臓、心
poumon,肺
estomac,胃
rein,腎臓
foie,肝臓
utérus,子宮
intestin,腸
cerveau,脳、頭脳
larme,涙
sueur,汗
physique,容姿、体格
mince,細い
gros,太った
maigre,やせた
brun,褐色の髪の、黒い髪の
se dégarnir,髪が薄くなる
barbe,あごひげ、頬ひげ
taille,身長、ウエスト
poids,体重
foncé,色が濃い、暗い
clair,色が薄い、明るい
ému,感動した
joie,喜び、うれしさ
détester,嫌う
colère,怒り
s'ennuyer,退屈する
jaloux/jalouse,嫉妬深い
honteux/honteuse,恥ずかしい
doux/douce,優しい、おとなしい
dur,厳しい
sérieux/sérieuse,まじめな、真剣な
bête,ばかな
fou,頭がおかしい
fier/fière,誇りを持った
calme,落ち着いた
méchant,意地悪な
gai,陽気な、明るい
honnête,正直な、誠実な
naïf/naïve,ばか正直な
paresseux/paresseuse,怠け者の
élever,育てる
grandir,成長する
se fiancer,婚約する
funèbre,葬式の
tombe,墓、墓穴
cousine/cousine,いとこ
aîné,年上の
cadet,年下の
camarade,仲間
embrasser,キスをする
baiser,キス
compter sur,当てにする
mépris,軽蔑
gronder,叱る
bruit,うわさ
bal,ダンスパーティ
flatter,お世辞を言う　
querelle,けんか
battre,殴る
coup,打つこと　殴ること
se brouiller,仲違いする
se tourmenter,悩む、心配する
réconciler,和解させる
tromper,だます
mentir,嘘をつく
mensonge,嘘
se moquer,ばかにする、からかう
gêner,邪魔する
trahir,裏切る
reproche,非難
préjugé,偏見
adversaire,競争相手
geste,身振り、動作
se réveiller,目が覚める
sembler,〜のように思われる
ranger,かたづける、並べる
paraître,〜のように見える
manquer,足りない、欠けている
tenir,持つ、つかむ
apporter,持ってくる
amener,連れてくる
frapper ,たたく
se dépêcher,急ぐ
lancer,投げる
lever,上げる
appercevoir,見かける、ちらっとみる
appeler,呼ぶ
rappeler,"呼び戻す,思い出させる"
voix,声
se taire,黙る
rendre,返す
louer,有料で貸す、借りる
prêter,貸す
emprunter,借りる
offrir,贈る
arracher,取り上げる、奪い取る
ramasser,拾う、拾い集める
chercher,人を迎えに行く
fournir,提供する
accorder,認める、与える
jeter,捨てる、投げ出す
céder,譲る、譲渡する
subir,受ける、被る
passer,渡す
brûler,焼く、燃やす
plier,折る、折りたたむ
poser,置く、取り付ける
attacher,つなぐ、結ぶ
appuyer,もたせかける、押す
effacer,消す
pendre,吊るす
tendre,貼る、引っ張る
agiter,振り動かす
casser,壊す、割る、折る
percer,穴を開ける
creuser,掘る
coller,貼り付ける、接着する
pièce,部品、パーツ
se servir,使う
reconnaître,わかる、認める
reconnaisance,認識
consentir,同意する
se tromper,間違える
esprit,精神、頭、知性
odeur,におい
"mou,mol/molle",やわらかい
agréable,心地よい、快適な
douleur,痛み、苦痛
douloureux/douloureuse,痛い、苦しい
vif/vive,鋭い、強烈な
tiède,生暖かい、ぬるい
rude,ざらざらした、手触りが粗い
lisse,すべすべした
se lever,起きる、起床する
s'habiller,服を着る、着替えをする
se brosser,（自分の体に）ブラシをかける
se laver,(自分の体を）体を洗う
attraper,つかまえる、電車などに間に合う
ménage,家事
rentrer,帰る、帰宅する
se reposer,くつろぐ、休む
vêtements,衣服、衣類
mettre,着る、身につける
