advenir,起こる、生じる
attendre,待つ、期待する
coucher,寝かせる、横にする
enlever,取り去る
entendre,聞こえる
pleurer,泣く
porter,持つ、身につける
provenir,〜から来る、由来する
susciter,呼び起こす
blesser,傷つける
haïr,憎む
placer ,置く、席につかせる
refaire,再びする、やり直す、修理する
révéler,明かす、明らかにする
parvenir,たどり着く、届く
abaisser,下ろす、下げる
abasourdir,耳を聞こえなくさせる
abattre,倒す、取り壊す、撃ち殺す
abolir,廃止する
absoudre,許す
acclamer,歓呼の声で迎える、喝采する
accorder,与える、認める
accourir,駆けつける
accrocher,掛ける、引っ掛ける
achever,終える
acquérir,手に入れる
adjoindre,つける、加える
admettre,入ることを許す、合格させる
adresser,送る、差し向ける
affaiblir,弱める
agacer,いらだたせる
agir,行動する、作用する
aménager,整備する、調整する
amener,連れてくる
animer,活気づける、司会して盛り上げる
appartenir,〜
arracher,引き抜く、剥ぎ取る、奪い取る
arraisonner,船舶を立入検査する
arranger,整える、修理する
assaillir,襲う
assurer,断言する、保証する
astreindre,強制する
atteindre,到着する、達する、手が届く
attirer,惹きつける、魅了する
baisser,低くする
balancer,揺り動かす、降る、釣り合いをとる
balayer,掃く、一掃する
bâtir,建てる、築く
bavarder,おしゃべりをする
bêler,鳴く
bénir,祝福する
bouger,身動きする
bouillir,沸騰する
briser,砕く、打ち砕く
brosser,ブラシをかける
broyer,砕く、粉にする
causer,引き起こす
céder,譲る、譲渡する、譲歩する
ceindre,
chasser,狩る
cheminer,道をたどる
chérir,慈しむ、深く愛する
chuchoter,ささやく
circoncire,割礼を行う
circonscrire,周りに線を引く、囲む、封じ込める
circonvenir,丸め込む、籠絡する
clore,閉会を告げる
comparaître,出頭する、出廷する
s'éloigner,遠ざける、退ける
emmener,連れて行く、送っていく
empêcher,妨げる
endormir,眠らせる
enfreindre,違反する、背く
s'enfuir,逃げ去る
enjoindre,〜するよう命令する、厳命する
énoncer,述べる、陳述する
s'enquérir,調べる、問い合わせる
enregistrer,録音する、録画する、記録する
entraîner,押し流す、連れて行く、巻き込む
entreprendre,企てる、取り掛かる
entretenir,保つ、維持する、手入れをする
entrouvrir,少し開ける
s'envoler,飛び立つ、吹き飛ばされる
épeler,つづりを言う
éprouver,試す、辛い目に遭わせる、感じる
équivaloir,同等である、等価である
essuyer,ふく、拭き取る
éteindre,消す
étourdir,〔酒・衝撃・騒音などが〕頭をぼうっとさせる、くらくらさせる
étreindre,抱きしめる、胸をしめつける
exiger,要求する、必要とする
faiblir,弱くなる、気弱になる
faillir,危うく〜するところだった
feindre,ふりをする、見せかける
fendre,割る、割く、ひびを入れる
feuilleter,ページをめくる
fixer ,固定する、取り付ける、決める
fonder,創設する、設立する
fondre,溶かす、鋳造する、溶ける
fouiller,くまなく探す、所持品を調べる
fournir,提供する
frémir,震える
gaspiller,無駄遣いする、浪費する
gâter,傷める、台無しにする
geindre,うめく
geler,凍る
gêner,邪魔する、迷惑をかける、困らせる
gérer,管理する、運営する
grandir,成長する、増大する
gratter,ひっかく、削り落とす
grêler,雹が降る
grimper,よじ登る、這い上がる
hoqueter,しゃっくりをする
imposer,強いる、押し付ける
induire,導き出す、帰納する、結果としてもたらす
compter,数える
concevoir,考える、思いつく、理解できる
concourir,〜を目指して協力する、協同する、競い合う
conduire,連れて行く、導く、運転する
confondre,混同する
conjoindre,結合する、団結する
conquérir,征服する、獲得する
contenir,含む
conter,語る
contraindre,強いる
contredire,反論する、矛盾する、矛盾したことを言う
contrevenir,違反する、背く
convaincre,納得させる
convenir,都合が良い、合意する、認める
correspondre,一致する、相当する、釣り合う
corrompre,〈人・良俗など〉を堕落させる、退廃させる
coudre,縫う、縫い付ける
craindre,恐れる、心配する
crier,叫ぶ、泣き叫ぶ
cueillir,摘む
culpabiliser,罪悪感を抱かせる
décevoir,失望させる
déchirer,破る、引き裂く、激しい苦痛を与える
découdre,縫い目をほどく、ほころびる
se dédire,前言を翻す、約束を破る
déduire,差し引く、控除する、推論する
défaillir,失神する、衰える
défaire,ほどく、解く、はずす、取り除く、ほどける、手放す
défendre,守る、弁護する、禁じる
défricher,開墾する、開拓する
dégager,解放する、引き出す、空ける
déménager,引っ越す//頭がおかしくなる//移動する
demeurer,居住する、とどまる、存続する
démolir,取り壊す、打ち壊す
dénoncer,告発する、暴く、密告する
dépasser,追い越す、通り越す、越える
dépeindre,描写する
dépenser,使う、消費する
déplaire,気に入らない、居心地が悪い
déranger,邪魔をする、狂わせる、散らかす
désobéir,従わない
dessiner,デッサンする、製図する、形を描く
déteindre,色が落ちる、色があせる
détenir,保持する、勾留する
détourner,進路を変える、引き離す
détruire,破壊する、絶滅させる、廃棄する、打ち砕く
dévêtir,服を脱がす
deviner,言い当てる、察する
diriger,指導する、導く、向ける
discourir,長広舌をふるう
dissoudre,溶解させる、解散する
doubler,２倍にする、追い越す、吹き替えをする
échapper,逃げる、意識されない
échouer,失敗する、座礁する
éclore,〔ひな・卵が〕かえる，孵化する、〔つぼみ・花が〕開く
éconduire,追い返す、追い払う
écraser,押しつぶす、車で轢く、圧迫する
effrayer,怖がらせる、たじろがせる
égayer,陽気にする、華やかにする
retirer,引き出す、引っ込める、脱ぐ、引退する、引きこもる
insister,強調する、言い張る
instruire,教育する、教える
interroger,質問する、尋ねる
interrompre,中断させる
intervenir,介入する、出勤する、発言する
introduire,招き入れる、導入する
jaillir,噴き出る、湧き出る
jaser,うわさする、悪口を言う
joindre,結合する、付け加える、連絡を取る
jouir,楽しむ、喜ぶ、恵まれる
juger,裁判する、判断する
jurer,誓う、断言する
lâcher,放す、ゆるめる
lancer,投げる、打ち上げる、進水させる
luire,光る、輝く
maintenir,維持する、固持する
maudire,呪う
méconnaître,正しく認識しない
médire,悪く言う、けなす
mener,運ぶ、通じる、導く、連れて行く
mentir,うそをつく
mépriser,軽蔑する
mériter,値する、ふさわしい
modérer,控えめにする、自制する
mordre,かむ、食い込む
moudre,挽く、細かく砕く
mouiller,ぬらす
négliger,おろそかにする、身なりを構わない
neutraliser,中立化する、無力化する
nier,否定する
nommer,任命する、名前を挙げる、名をつける
nouer,結ぶ、結び目をつける
se noyer,溺死する
nuire,害する
omettre,抜かす、省く
paraître,〜のように見える
parcourir,歩き回る、走破する、ざっと目を通す
patiner,スケートをする、スリップする, 〈彫刻・家具など〉に古色
pécher,罪を犯す
pêcher,魚を釣る
se peigner,髪を櫛でとかす
peler,皮を剥く
pendre,つるす、絞首刑にする
percevoir,知覚する、〈利子・家賃・税金など〉を徴収する
périr,命を落とす
peser,重さを量る、慎重に検討する
pianoter,ピアノを下手に叩く
plaindre,気の毒に思う
se plaindre,不平を言う
plaire,気に入る
plaisanter,冗談を言う
planter,植える
plier,折る、曲げる
plonger,飛び込む、潜る
pondre,産む、産卵する
poser,置く、取り付ける
posséder,所有している、精通している
poursuivre,追いかける、つきまとう、追い求める
prédire,予言する
prescrire,処方する
présenter,紹介する、提示する
pressentir,予感する、以降を打診する
presser,押す、搾る、急がせる
prétendre,言い張る
prêter,貸す
prévaloir,勝る、優位に立つ
se prévaloir,
prévenir,前もって知らせる、予告する、通報する、予防する
prévoir,予想する、予測する、予定する、用意する
prier,祈る
projeter,計画する
proscrire,追放する、禁止する
prouver,証明する
puer,悪臭を発する
punir,罰する
ralentir,速度を緩める、スピードを落とす
ranger,片付ける、整理する、きちんと並べる
rassurer,安心させる
rater,乗り損なう、失敗する、失敗に終わる
ravir,うっとりさせる
reconduire,送って行く、見送る
reconstruire,再建する、復興する
recoudre,縫い直す
recourir,助けを求める、頼る、訴える
recouvrir,覆う、覆い隠す
récrire,書き直す、リライトする
recueillir,集める、収集する
rédiger,文書を作成する、起草する
redire,再び言う、くり返し言う
réduire,減らす
réélire,再選する
rejoindre,再び一緒になる、合流する
relire,読み返す、再読する
remarquer,気づく、注目する、指摘する
remettre,戻す、再び着る、さらに加える、延期する
renoncer,あきらめる、放棄する、やめる
renouveler,新しくする、更新する、繰り返す
renvoyer,送り返す、帰す、追い出す、解雇する
répandre,こぼす、撒き散らす
reparaître,
réparer,修理する
repasser,アイロンをかける、再び通る
repeindre,塗り替える
se repentir,罪を悔いる、後悔する
repérer,位置を割り出す
reprendre,取り戻す
réprimander,叱責する
résoudre,解く、解決する
ressembler,似ている
ressentir,感じる
restreindre,制限する
